fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
C2,51.621244,-115.608378,2138.000000,,,16.000000,342.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2144.000000,,,24.000000,324.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2163.000000,,,32.000000,308.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2198.000000,,,41.000000,298.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2234.000000,,,42.000000,305.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2259.000000,,,44.000000,315.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2290.000000,,,45.000000,312.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2335.000000,,,19.000000,45.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2286.000000,,,65.000000,91.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2212.000000,,,42.000000,93.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2195.000000,,,16.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2178.000000,,,24.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2147.000000,,,27.000000,85.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2123.000000,,,19.000000,84.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2110.000000,,,3.000000,153.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2128.000000,,,9.000000,217.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2122.000000,,,6.000000,123.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2109.000000,,,8.000000,91.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2108.000000,,,7.000000,162.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2116.000000,,,16.000000,183.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2166.000000,,,40.000000,345.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2188.000000,,,52.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2207.000000,,,60.000000,334.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2231.000000,,,67.000000,327.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2284.000000,,,69.000000,325.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2323.000000,,,66.000000,329.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2366.000000,,,47.000000,338.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2363.000000,,,44.000000,65.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2265.000000,,,73.000000,90.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2210.000000,,,38.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2200.000000,,,16.000000,102.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2179.000000,,,23.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2152.000000,,,25.000000,89.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2128.000000,,,20.000000,87.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2109.000000,,,12.000000,116.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2101.000000,,,14.000000,188.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,12.000000,203.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2117.000000,,,6.000000,110.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2094.000000,,,10.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2078.000000,,,7.000000,144.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2211.000000,,,61.000000,346.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2241.000000,,,69.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2277.000000,,,72.000000,335.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2312.000000,,,68.000000,332.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2348.000000,,,53.000000,327.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2379.000000,,,32.000000,318.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2394.000000,,,5.000000,33.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2364.000000,,,58.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2273.000000,,,79.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2202.000000,,,39.000000,105.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2189.000000,,,18.000000,126.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2171.000000,,,23.000000,114.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2149.000000,,,24.000000,109.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2127.000000,,,18.000000,103.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2107.000000,,,17.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2086.000000,,,10.000000,136.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2094.000000,,,18.000000,206.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2113.000000,,,12.000000,204.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2111.000000,,,6.000000,56.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2098.000000,,,15.000000,17.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2284.000000,,,60.000000,347.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2314.000000,,,55.000000,334.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2341.000000,,,40.000000,328.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2364.000000,,,24.000000,315.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2374.000000,,,11.000000,272.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2372.000000,,,13.000000,207.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2372.000000,,,24.000000,142.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2338.000000,,,67.000000,111.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2248.000000,,,80.000000,108.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2187.000000,,,41.000000,120.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2176.000000,,,20.000000,142.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2161.000000,,,23.000000,123.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2133.000000,,,22.000000,116.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,13.000000,113.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2113.000000,,,13.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2091.000000,,,15.000000,83.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2074.000000,,,9.000000,164.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2086.000000,,,21.000000,210.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2107.000000,,,16.000000,213.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2112.000000,,,4.000000,209.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2334.000000,,,15.000000,334.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2345.000000,,,11.000000,286.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2347.000000,,,11.000000,221.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2346.000000,,,17.000000,198.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2347.000000,,,19.000000,190.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2351.000000,,,17.000000,188.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2355.000000,,,27.000000,132.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2313.000000,,,72.000000,109.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2218.000000,,,77.000000,109.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2162.000000,,,35.000000,123.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2156.000000,,,17.000000,147.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2147.000000,,,20.000000,126.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2126.000000,,,17.000000,117.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2116.000000,,,9.000000,115.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2108.000000,,,9.000000,103.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2101.000000,,,15.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2076.000000,,,14.000000,94.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2064.000000,,,12.000000,190.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2080.000000,,,24.000000,211.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2099.000000,,,23.000000,197.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2319.000000,,,16.000000,185.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2319.000000,,,18.000000,189.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2322.000000,,,18.000000,191.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2328.000000,,,15.000000,195.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2333.000000,,,14.000000,199.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2339.000000,,,13.000000,191.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2339.000000,,,28.000000,122.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2285.000000,,,73.000000,103.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2190.000000,,,69.000000,101.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2152.000000,,,25.000000,111.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2149.000000,,,12.000000,130.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2132.000000,,,18.000000,120.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,15.000000,129.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2113.000000,,,10.000000,138.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2104.000000,,,9.000000,131.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2096.000000,,,12.000000,109.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2080.000000,,,18.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2060.000000,,,12.000000,126.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2057.000000,,,18.000000,199.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2069.000000,,,24.000000,195.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2304.000000,,,12.000000,183.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2306.000000,,,12.000000,193.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2310.000000,,,12.000000,202.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2316.000000,,,12.000000,203.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2321.000000,,,13.000000,202.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2326.000000,,,12.000000,187.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2323.000000,,,26.000000,115.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2277.000000,,,67.000000,95.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2189.000000,,,66.000000,92.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2146.000000,,,24.000000,103.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2143.000000,,,13.000000,128.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2125.000000,,,18.000000,115.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2107.000000,,,15.000000,125.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2099.000000,,,11.000000,147.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2096.000000,,,11.000000,146.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2089.000000,,,13.000000,129.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2078.000000,,,17.000000,111.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2053.000000,,,15.000000,107.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2040.000000,,,9.000000,164.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2050.000000,,,16.000000,188.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2293.000000,,,30.000000,184.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2296.000000,,,27.000000,193.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2300.000000,,,21.000000,200.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2304.000000,,,17.000000,200.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2308.000000,,,15.000000,201.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2314.000000,,,12.000000,191.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2312.000000,,,22.000000,114.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2273.000000,,,61.000000,94.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2191.000000,,,67.000000,92.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2138.000000,,,30.000000,102.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2130.000000,,,13.000000,134.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,16.000000,118.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2101.000000,,,15.000000,114.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2090.000000,,,10.000000,136.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2087.000000,,,11.000000,147.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2078.000000,,,14.000000,135.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2066.000000,,,17.000000,126.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2054.000000,,,15.000000,119.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2044.000000,,,10.000000,133.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2031.000000,,,9.000000,168.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2240.000000,,,64.000000,183.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2251.000000,,,61.000000,192.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2272.000000,,,53.000000,198.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2285.000000,,,40.000000,200.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2293.000000,,,28.000000,205.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2300.000000,,,17.000000,204.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2304.000000,,,18.000000,121.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2266.000000,,,56.000000,94.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2189.000000,,,67.000000,91.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2131.000000,,,36.000000,97.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2118.000000,,,15.000000,131.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2112.000000,,,15.000000,131.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2096.000000,,,16.000000,123.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2083.000000,,,13.000000,136.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2077.000000,,,13.000000,147.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2069.000000,,,16.000000,138.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2053.000000,,,18.000000,133.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2041.000000,,,18.000000,137.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2028.000000,,,14.000000,149.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2028.000000,,,9.000000,172.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2164.000000,,,60.000000,182.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2171.000000,,,66.000000,191.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2198.000000,,,71.000000,198.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2228.000000,,,67.000000,202.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2260.000000,,,55.000000,209.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2283.000000,,,36.000000,213.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2293.000000,,,15.000000,155.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2263.000000,,,47.000000,92.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2195.000000,,,66.000000,86.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2129.000000,,,45.000000,90.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2105.000000,,,20.000000,120.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2097.000000,,,19.000000,144.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2084.000000,,,19.000000,141.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2072.000000,,,18.000000,144.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2062.000000,,,17.000000,151.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2053.000000,,,17.000000,145.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2041.000000,,,18.000000,135.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2027.000000,,,18.000000,133.000000,,,,,2,,,,,,,20,,,0.800000,,
C2,51.621244,-115.608378,2014.000000,,,13.000000,155.000000,,,,,2,,,,,,,20,,,0.800000,,
